Model,Accuracy,Precision,Recall,F1-Score
Linear SVM,0.8586544887502785,0.8586562704984049,0.8586544887502785,0.8570251142704681
Logistic Regression,0.8420583648919581,0.844017668607238,0.8420583648919581,0.8386914563619515
Naive Bayes,0.6522610826464691,0.7015399799235542,0.6522610826464691,0.6342462002893264
